state,count,mean,std,min,25%,50%,75%,max
New Hampshire,12.0,0.03744133333333333,0.0022348041335095823,0.033652,0.036034500000000004,0.037787,0.038858000000000004,0.040808
New Jersey,17.0,0.04172941176470588,0.0028460010773632793,0.035237,0.040833999999999995,0.042332999999999996,0.044188,0.044742
New Mexico,21.0,0.046997619047619045,0.0015297228989653803,0.043197,0.046293,0.04702,0.047954,0.050331
New York,31.0,0.03949887096774193,0.0029670897946409303,0.031692000000000005,0.037850499999999995,0.039237,0.041292499999999996,0.044913999999999996
North Carolina,38.0,0.044162473684210536,0.0025471444290679724,0.037142,0.04264,0.044606,0.046144000000000004,0.047727
North Dakota,10.0,0.039308699999999995,0.002119503508424137,0.034669,0.038423,0.0397295,0.0408805,0.041431
Ohio,51.0,0.04337652941176472,0.002415275515157152,0.036034,0.042119000000000004,0.043657,0.045066,0.047448
Oklahoma,21.0,0.04173866666666667,0.002422604638262985,0.037958,0.039639,0.041787,0.043607,0.045788999999999996
Oregon,10.0,0.0347972,0.004752489027399804,0.028711,0.03191575,0.033269499999999994,0.037101999999999996,0.042454
Pennsylvania,53.0,0.041788792452830195,0.0024959022136177415,0.036704,0.040389,0.041976,0.04333,0.046571
Puerto Rico,3.0,0.009614333333333332,0.0036339381300915575,0.005862,0.007863,0.009864,0.011490499999999999,0.013116999999999998
Rhode Island,3.0,0.04395966666666667,0.0019168018503051706,0.041977,0.043038,0.044099,0.044951,0.045802999999999996
South Carolina,18.0,0.04477327777777778,0.003133513378744575,0.035089999999999996,0.04348149999999999,0.045739,0.0462905,0.048253
South Dakota,6.0,0.04223483333333333,0.003550050783674322,0.037986,0.0399415,0.0419205,0.04376825,0.047916
Tennessee,23.0,0.04380095652173913,0.0021322777722481926,0.039979,0.042355000000000004,0.043675,0.045378,0.047591
Texas,74.0,0.03925212162162163,0.004262021759465364,0.031202999999999998,0.035551,0.039678500000000005,0.04273375,0.04749
Utah,31.0,0.04383312903225806,0.005513916217123939,0.026032999999999997,0.042429499999999995,0.044629,0.047240500000000005,0.050270999999999996
Vermont,3.0,0.037228333333333335,0.0004440555520802928,0.036717,0.037084,0.037451,0.037484,0.037517
Virginia,23.0,0.04261304347826087,0.00202039322181376,0.038926999999999996,0.0413675,0.042685,0.044071,0.04575
Washington,13.0,0.034279384615384614,0.005378567584070155,0.025693,0.031869999999999996,0.033201,0.036969999999999996,0.043616
West Virginia,11.0,0.04174863636363636,0.0018777321572965228,0.038018,0.040538,0.041863,0.043160500000000004,0.044308
Wisconsin,31.0,0.03858590322580645,0.0021637602971807932,0.034554999999999995,0.037290500000000004,0.038563,0.040507,0.042722
Wyoming,32.0,0.0470633125,0.002960825750529741,0.040824,0.04539825,0.047102000000000005,0.049101250000000006,0.052138
